episode,miss,1피,2피,총보상
100,1.0000,0.0000,0.0000,-1.00
200,1.0000,0.0000,0.0000,0.00
300,1.0000,0.0000,0.0000,0.00
400,1.0000,0.0000,0.0000,0.00
500,1.0000,0.0000,0.0000,0.00
600,1.0000,0.0000,0.0000,0.00
700,1.0000,0.0000,0.0000,0.00
800,1.0000,0.0000,0.0000,0.00
900,1.0000,0.0000,0.0000,0.00
1000,1.0000,0.0000,0.0000,0.00
1100,1.0000,0.0000,0.0000,-1.00
1200,1.0000,0.0000,0.0000,0.00
1300,1.0000,0.0000,0.0000,0.00
1400,1.0000,0.0000,0.0000,0.00
1500,1.0000,0.0000,0.0000,0.00
1600,1.0000,0.0000,0.0000,0.00
1700,1.0000,0.0000,0.0000,0.00
1800,1.0000,0.0000,0.0000,0.00
1900,1.0000,0.0000,0.0000,0.00
2000,1.0000,0.0000,0.0000,0.00
2100,1.0000,0.0000,0.0000,0.00
2200,1.0000,0.0000,0.0000,0.00
2300,1.0000,0.0000,0.0000,0.00
2400,1.0000,0.0000,0.0000,0.00
2500,1.0000,0.0000,0.0000,0.00
2600,1.0000,0.0000,0.0000,0.00
2700,1.0000,0.0000,0.0000,0.00
2800,1.0000,0.0000,0.0000,0.00
2900,1.0000,0.0000,0.0000,0.00
3000,1.0000,0.0000,0.0000,0.00
3100,1.0000,0.0000,0.0000,-1.00
3200,1.0000,0.0000,0.0000,0.00
3300,1.0000,0.0000,0.0000,0.00
3400,1.0000,0.0000,0.0000,0.00
3500,1.0000,0.0000,0.0000,0.00
3600,1.0000,0.0000,0.0000,0.00
3700,1.0000,0.0000,0.0000,0.00
3800,1.0000,0.0000,0.0000,0.00
3900,1.0000,0.0000,0.0000,0.00
4000,1.0000,0.0000,0.0000,0.00
4100,1.0000,0.0000,0.0000,0.00
4200,1.0000,0.0000,0.0000,0.00
4300,1.0000,0.0000,0.0000,0.00
4400,1.0000,0.0000,0.0000,0.00
4500,1.0000,0.0000,0.0000,0.00
4600,1.0000,0.0000,0.0000,0.00
4700,1.0000,0.0000,0.0000,0.00
4800,1.0000,0.0000,0.0000,0.00
4900,1.0000,0.0000,0.0000,0.00
5000,1.0000,0.0000,0.0000,0.00
5100,1.0000,0.0000,0.0000,0.00
5200,1.0000,0.0000,0.0000,0.00
5300,1.0000,0.0000,0.0000,0.00
5400,1.0000,0.0000,0.0000,0.00
5500,1.0000,0.0000,0.0000,0.00
5600,1.0000,0.0000,0.0000,0.00
5700,1.0000,0.0000,0.0000,0.00
5800,1.0000,0.0000,0.0000,0.00
5900,1.0000,0.0000,0.0000,0.00
6000,1.0000,0.0000,0.0000,0.00
6100,1.0000,0.0000,0.0000,0.00
6200,1.0000,0.0000,0.0000,0.00
6300,1.0000,0.0000,0.0000,0.00
6400,1.0000,0.0000,0.0000,0.00
6500,1.0000,0.0000,0.0000,0.00
6600,1.0000,0.0000,0.0000,0.00
6700,1.0000,0.0000,0.0000,0.00
6800,1.0000,0.0000,0.0000,0.00
6900,1.0000,0.0000,0.0000,0.00
7000,1.0000,0.0000,0.0000,0.00
7100,1.0000,0.0000,0.0000,0.00
7200,1.0000,0.0000,0.0000,0.00
7300,1.0000,0.0000,0.0000,0.00
7400,1.0000,0.0000,0.0000,0.00
7500,1.0000,0.0000,0.0000,0.00
7600,1.0000,0.0000,0.0000,0.00
7700,1.0000,0.0000,0.0000,0.00
7800,1.0000,0.0000,0.0000,0.00
7900,1.0000,0.0000,0.0000,0.00
8000,1.0000,0.0000,0.0000,0.00
8100,1.0000,0.0000,0.0000,0.00
8200,1.0000,0.0000,0.0000,0.00
8300,1.0000,0.0000,0.0000,0.00
8400,1.0000,0.0000,0.0000,0.00
8500,1.0000,0.0000,0.0000,0.00
8600,1.0000,0.0000,0.0000,0.00
8700,1.0000,0.0000,0.0000,0.00
8800,1.0000,0.0000,0.0000,0.00
8900,1.0000,0.0000,0.0000,0.00
9000,1.0000,0.0000,0.0000,0.00
9100,1.0000,0.0000,0.0000,0.00
9200,1.0000,0.0000,0.0000,0.00
9300,1.0000,0.0000,0.0000,0.00
9400,1.0000,0.0000,0.0000,0.00
9500,1.0000,0.0000,0.0000,0.00
9600,1.0000,0.0000,0.0000,0.00
9700,1.0000,0.0000,0.0000,0.00
9800,1.0000,0.0000,0.0000,0.00
9900,1.0000,0.0000,0.0000,0.00
10000,1.0000,0.0000,0.0000,0.00
